Company Name,Location,Datum,Status Rocket,Cost,Status Mission,Country,Year,Rocket,Satellite
Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","Thu Mar 31, 2016 16:23 UTC",StatusActive,48.5 ,Success,Kazakhstan,2016,Soyuz 2.1a,Progress MS-02
CASC,"LC-2, Xichang Satellite Launch Center, China","Tue Mar 29, 2016 20:11 UTC",StatusActive,69.7 ,Success,China,2016,Long March 3A,BeiDou IGSO-6
VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia","Thu Mar 24, 2016 09:42 UTC",StatusActive,48.5 ,Success,Russia,2016,Soyuz 2.1a,Bars-M 2L
ULA,"SLC-41, Cape Canaveral AFS, Florida, USA","Wed Mar 23, 2016 03:05 UTC",StatusActive,109.0 ,Success,USA,2016,Atlas V 401,CRS OA-6
Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Fri Mar 18, 2016 21:26 UTC",StatusRetired,,Success,Kazakhstan,2016,Soyuz FG,Soyuz TMA-20M
Roscosmos,"Site 200/39, Baikonur Cosmodrome, Kazakhstan","Mon Mar 14, 2016 09:31 UTC",StatusActive,65.0 ,Success,Kazakhstan,2016,Proton-M/Briz-M,ExoMars Trace Gas Orbiter & Schiaparelli EDM
Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","Sun Mar 13, 2016 18:56 UTC",StatusActive,35.0 ,Success,Kazakhstan,2016,Soyuz 2.1b,Resurs-P No.3
ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India","Thu Mar 10, 2016 10:31 UTC",StatusActive,31.0 ,Success,India,2016,PSLV-XL,IRNSS-1F
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Wed Mar 09, 2016 05:20 UTC",StatusActive,200.0 ,Success,France,2016,Ariane 5 ECA,Eutelsat 65 West A
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA","Fri Mar 04, 2016 23:35 UTC",StatusRetired,62.0 ,Success,USA,2016,Falcon 9 Block 3,SES-9
MHI,"LA-Y1, Tanegashima Space Center, Japan","Wed Feb 17, 2016 08:45 UTC",StatusActive,90.0 ,Success,Japan,2016,H-IIA 202,"Astro H, Horyu 4 & Kinshachi 2 and 3"
